1,Activos
5.2.1,Gastos de Actividades Ordinarias 
5.2.1.1,Gastos de Ventas 
5.2.1.1.1,Mantenimiento Equipos Vtas.
5.2.1.1.2,Publicidad y Promoción Vtas.
5.2.1.1.3,Depreciaciones Propiedades Planta y Equipo Vtas.
5.2.1.1.5,Menaje de Hospitalización 
5.2.1.2,Gastos Administrativos 
5.2.1.2.1,Sueldos y Salarios
5.2.1.2.1.1,Gasto Sueldos Adm.
5.2.1.2.1.2,Horas Extras Adm.
5.2.1.2.1.3,Bonificaciones Adm.
5.2.1.2.1.4,Aporte Patronal al I.E.S.S Adm.
5.2.1.2.1.5,Fondos de Reserva Adm.
5.2.1.2.1.6,Gasto Décimo Tercer Sueldo Adm.
5.2.1.2.1.7,Gasto Décimo Cuarto Sueldo Adm.
5.2.1.2.1.8,Vacaciones Adm.
5.2.1.2.1.9,Desahucio Adm.
5.2.1.2.1.10,Alimentación Adm.
5.2.1.2.2,Mantenimiento Equipos Adm.
5.2.1.2.3,Publicidad y Promoción Adm.
5.2.1.2.4,Impuesto a los Consumos Especiales Adm.
5.2.1.2.5,Depreciaciones Propiedades Planta y Equipo Adm.
5.2.1.2.6,Otros Gastos Adm.
5.2.1.2.7,Honorarios de Prestación de Servicios 
5.2.1.2.7.1,Servicios Prestados Administrativos
5.2.1.2.7.2,Servicios Prestados Gerencia
5.2.1.2.7.3,Honorarios Profesionales Contabilidad
5.2.1.2.7.4,Servicios de Infraestructura Tecnológica
5.2.1.2.7.5,Servicios Guardiania
5.2.1.2.7.6,Alimentación Guardiania
5.2.1.2.7.7,Movilización y Transporte Personal
5.2.1.2.7.8,Prestación de Servicios 
5.2.1.2.8,Capacitación y Gestión de Representación 
5.2.1.2.8.1,Alimentación de Representación 
5.2.1.2.8.2,Gastos de Gestión Adm.
5.2.1.2.8.3,Gastos de Viaje y Representación Adm.
5.2.1.2.8.4,Movilización y Transporte Adm.
5.2.1.2.8.5,Capacitación y Entrenamiento Adm.
5.2.1.2.9,Gastos Legales
5.2.1.2.9.1,Honorarios Abogados
5.2.1.2.9.2,Gasto Seguro Responsabilidad Civil 
5.2.1.2.10,Servicios Basicos 
5.2.1.2.10.1,Servicios de Agua
5.2.1.2.10.2,Servicios de Energía Electrica 
5.2.1.2.10.3,Servicios de Internet
5.2.1.2.10.4,Servicios de Televisión Pagada 
5.2.1.2.10.5,Servicios de Telefonía 
5.2.1.2.11,Servicios de Software
5.2.1.2.11.1,Software Contable 
5.2.1.2.11.2,Software Hospitalario
5.2.1.2.12,DATAFAST
5.2.1.2.13,Suministros y Materiales 
5.2.1.2.13.1,Suministros de oficina
5.2.1.2.13.2,Suministros de Limpieza
5.2.1.2.13.3,Uniformes Personal Adm.
5.2.1.2.13.4,Materiales Y Herramientas 
5.2.1.2.13.5,Mantenimiento y Reparación 
5.2.1.2.14,Mantenimiento Edificio 
5.2.1.2.14.1,Control de Plagas 
5.2.1.2.14.2,Mantenimiento Generador
5.2.1.2.14.3,Mantenimiento General 
5.2.1.3,Gastos Financieros 
5.2.1.3.1,Intereses
5.2.1.3.2,Gastos Bancarios 
5.2.1.3.3,Gastos Bancarios T/C
5.2.1.3.4,Otros Gastos Financieros
5.2.2,Gastos No Operacionales 
5.2.2.1,Otros Gastos 
5.2.2.1.1,Retenciones Asumidas
5.2.2.1.2,Otros Gastos por Descuento de Personal 
5.2.3,Gastos de Operaciones Descontinuadas 
