Rose CPS
North Carolina
30-Nov-16 (16-501)
Analysis of production performance between 16-469 and 16-496


"Farm","0300 - DN","0301 - Polly Ridge","0305 - Shellbank","0306 - Whitakers","0307 - Creekside","0309 - CAJ One","Total"
"PartWeanedSowsWeaned",15,0,0,0,0,0,15
"PartWeanedPigletsWeaned",71,0,0,0,0,0,71
"SumCycleCompleteWeaned",2657,3896,1382,1545,2632,2336,14448
"SumParityCompleteWeaned",2657,3895,1368,1543,2614,2335,14412
"SumLactationLength",22806,29367,9046,10504,17653,21439,110815
"SumPigletAgeAtWeaning",266330,342011,94754,114751,200167,237210,1255223
"SumWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedLitterWeight",0,0,0,0,743,0,743
"SumAdjWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountAdjWeanedLitterWeight",0,0,0,0,0,0,0
"SumWeanedPigletWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedPigletWeight",0,0,0,0,0,0,0
"SumLivebornForWeanedPigs",12346,16028,5106,5870,9950,11760,61060
"SumLitterReconciliation",415,97,63,67,234,221,1097
"WeanedPerSowPerYear",27.68,28.68,21.33,26.80,27.64,25.44,26.71
"WeanedPerFemalePerYear",27.07,26.53,20.56,25.79,26.33,24.63,25.53
"PreWeaningMortality",14.09,15.28,14.77,9.56,8.01,10.90,12.42
"PreWeaningMortalityNetFoster",16.55,15.24,14.77,12.12,11.03,12.25,13.89

Inventory Information

"SowDays",139355,172627,74540,71386,120043,149581,727532
"GiltDays",3154,13988,2775,2804,5961,4898,33580
"OffsetSowDays",139355,172627,74540,71386,120043,149581,727532
"OffsetGiltDays",3154,13988,2775,2804,5961,4898,33580
"FemaleDays",142509,186615,77315,74190,126004,154479,761112
"SumParityDays",337478,511651,188896,201618,318337,283821,1841801
"SumCycleDays",447708,646526,251918,258170,415901,402349,2422572
"BoarDays",0,0,840,532,0,1624,2996
"FemaleNonProdDays",11641,26239,9327,9674,15697,16753,89331
"SowNonProdDays",8487,12251,6552,6870,9736,11855,55751
"GiltsArrived",90,106,23,133,0,216,568
"SowsArrived",0,0,0,0,0,0,0
"SowsTransferedOn",0,0,0,0,0,0,0
"GiltsArrivedAvailable",90,106,23,133,0,216,568
"SowsDied",32,54,22,21,32,29,190
"SowsDiedSumParity",75,178,59,59,75,59,505
"SowsDiedSumCycle",84,200,75,69,95,76,599
"PercentFemaleDeathsPerYear",8.20,10.57,10.39,10.34,9.28,6.86,9.12
"SowsSold",177,83,0,73,85,176,594
"SowsSoldSumParity",586,330,0,224,213,489,1842
"SowsSoldSumCycle",640,382,0,253,257,546,2078
"PercentFemaleCullsPerYear",45.37,16.25,0.00,35.94,24.64,41.61,28.51
"SowsTransferedOff",0,0,0,0,0,0,0
"PercentFemaleTransfersOffPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SowsTransferedOn",0,0,0,0,0,0,0
"PercentFemaleTransfersOnPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EndingFemaleInventory",5024,6698,2751,2636,4412,5573,27094
"AvGiltInventory",113,500,99,100,213,175,1199
"EndingGiltInventory",60,435,62,101,135,186,979
"AvSowInventory",4977,6165,2662,2550,4287,5342,25983
"EndingSowInventory",4964,6263,2689,2535,4277,5387,26115
"AvBoarInventory",0,0,30,19,0,58,107
"EndingBoarInventory",0,0,0,0,0,0,0
"EndingCycleInventory[0]",60,435,62,101,135,186,979
"EndingCycleInventory[1]",989,1221,607,490,1024,1411,5742
"EndingCycleInventory[2]",902,513,566,445,866,1250,4542
"EndingCycleInventory[3]",1044,1437,478,469,493,1046,4967
"EndingCycleInventory[4]",1151,1194,344,388,596,1009,4682
"EndingCycleInventory[5]",235,801,206,240,473,520,2475
"EndingCycleInventory[6]",261,210,133,149,239,109,1101
"EndingCycleInventory[7]",183,388,144,181,231,32,1159
"EndingCycleInventory[8]",187,321,115,94,252,9,978
"EndingCycleInventory[9]",10,166,68,52,92,1,389
"EndingCycleInventory[10]",2,12,17,23,11,0,65
"EndingCycleInventory[11]",0,0,11,4,0,0,15
"EndingParityInventory[0]",826,1347,502,455,908,1218,5256
"EndingParityInventory[1]",928,550,655,453,932,1317,4835
"EndingParityInventory[2]",949,1413,497,517,595,1131,5102
"EndingParityInventory[3]",1369,1281,359,387,573,1049,5018
"EndingParityInventory[4]",244,910,233,292,513,631,2823
"EndingParityInventory[5]",264,238,131,155,249,164,1201
"EndingParityInventory[6]",204,365,149,175,252,37,1182
"EndingParityInventory[7]",173,322,118,110,249,21,993
"EndingParityInventory[8]",63,255,68,55,125,4,570
"EndingParityInventory[9]",4,17,26,29,14,1,91
"EndingParityInventory[10]",0,0,10,8,2,0,20
"EndingParityInventory[11]",0,0,3,0,0,0,3
"SowsSoldByCycle[0]",17,1,0,7,5,5,35
"SowsSoldByCycle[1]",40,6,0,10,28,37,121
"SowsSoldByCycle[2]",21,7,0,20,12,32,92
"SowsSoldByCycle[3]",28,18,0,6,10,38,100
"SowsSoldByCycle[4]",16,16,0,6,7,29,74
"SowsSoldByCycle[5]",2,5,0,8,6,14,35
"SowsSoldByCycle[6]",9,6,0,4,5,3,27
"SowsSoldByCycle[7]",11,12,0,5,9,17,54
"SowsSoldByCycle[8]",28,9,0,3,3,1,44
"SowsSoldByCycle[9]",5,3,0,2,0,0,10
"SowsSoldByCycle[10]",0,0,0,2,0,0,2
"SowsSoldByCycle[11]",0,0,0,0,0,0,0
"SowsSoldByParity[0]",26,5,0,14,22,10,77
"SowsSoldByParity[1]",45,5,0,15,21,43,129
"SowsSoldByParity[2]",18,15,0,11,6,39,89
"SowsSoldByParity[3]",28,17,0,8,10,37,100
"SowsSoldByParity[4]",5,10,0,2,6,17,40
"SowsSoldByParity[5]",6,3,0,8,5,9,31
"SowsSoldByParity[6]",7,14,0,3,6,4,34
"SowsSoldByParity[7]",11,7,0,5,7,16,46
"SowsSoldByParity[8]",27,7,0,3,2,1,40
"SowsSoldByParity[9]",4,0,0,2,0,0,6
"SowsSoldByParity[10]",0,0,0,2,0,0,2
"SowsSoldByParity[11]",0,0,0,0,0,0,0
"SowsDiedByCycle[0]",3,2,0,1,2,2,10
"SowsDiedByCycle[1]",11,9,2,2,13,8,45
"SowsDiedByCycle[2]",4,6,6,6,3,5,30
"SowsDiedByCycle[3]",5,10,4,2,2,3,26
"SowsDiedByCycle[4]",3,9,6,3,3,6,30
"SowsDiedByCycle[5]",2,8,2,6,3,5,26
"SowsDiedByCycle[6]",1,1,1,0,1,0,4
"SowsDiedByCycle[7]",2,5,0,1,3,0,11
"SowsDiedByCycle[8]",1,4,0,0,2,0,7
"SowsDiedByCycle[9]",0,0,1,0,0,0,1
"SowsDiedByCycle[10]",0,0,0,0,0,0,0
"SowsDiedByCycle[11]",0,0,0,0,0,0,0
"SowsDiedByParity[0]",7,6,1,1,10,5,30
"SowsDiedByParity[1]",7,5,6,4,6,9,37
"SowsDiedByParity[2]",5,9,4,5,2,3,28
"SowsDiedByParity[3]",6,10,5,4,5,6,36
"SowsDiedByParity[4]",1,13,4,3,3,4,28
"SowsDiedByParity[5]",3,2,1,3,1,2,12
"SowsDiedByParity[6]",0,2,0,1,2,0,5
"SowsDiedByParity[7]",3,5,0,0,3,0,11
"SowsDiedByParity[8]",0,2,0,0,0,0,2
"SowsDiedByParity[9]",0,0,1,0,0,0,1
"SowsDiedByParity[10]",0,0,0,0,0,0,0
"SowsDiedByParity[11]",0,0,0,0,0,0,0
"AvGestatingGiltInventory",791,907,463,357,824,1076,4417
"AvLactatingSowInventory",802,1004,359,371,598,815,3948
"AvDrySowInventory",238,357,143,175,255,305,1472
"AvGestatingSowInventory",3146,3898,1698,1647,2611,3147,16147
"PercentMaidenGiltInventory",2.21,7.50,3.59,3.78,4.73,3.17,4.41
"PercentGestatingGiltInventory",15.55,13.60,16.76,13.46,18.31,19.50,16.25
"PercentLactatingSowInventory",15.76,15.06,12.99,13.99,13.29,14.77,14.52
"PercentDrySowInventory",4.68,5.35,5.16,6.60,5.66,5.52,5.41
"PercentGestatingSowInventory",61.80,58.49,61.50,62.17,58.01,57.04,59.40
