Rose CPS
WI
31-Oct-16 (16-471)
Analysis of production performance between 16-441 and 16-468


"Farm","0500 - Main Farm","0501 - Crouch I","0502 - Crouch II","0503 - Scenic Farm","0504 - Cedar Farm","0505 - Loreto Farm","0508 - Marengo Farm","Total"
"TotalPigletsWeanedBoars",0,0,0,0,0,0,0,0
"TotalPigletsWeanedGilts",0,0,0,0,0,0,0,0
"WeanedPerLitter",9.62,9.64,10.90,10.84,11.09,10.73,10.83,10.46
"TotalPigletsWeanedNoPartWeaned",2040,943,1020,1019,976,858,3054,9910
"SubStandardWeaned",0,0,0,0,0,0,0,0
"PartWeanedSowsWeaned",0,3,1,0,0,0,0,4
"PartWeanedPigletsWeaned",0,11,5,0,0,0,0,16
"SumCycleCompleteWeaned",522,268,296,291,317,226,1117,3037
"SumParityCompleteWeaned",522,268,296,291,317,226,1109,3029
"SumLactationLength",4294,2159,1820,1825,1802,1867,5912,19679
"SumPigletAgeAtWeaning",40750,20703,19527,19663,19988,19999,63812,204442
"SumWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedLitterWeight",0,0,0,0,0,0,0,0
"SumAdjWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountAdjWeanedLitterWeight",0,0,0,0,0,0,0,0
"SumWeanedPigletWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedPigletWeight",0,0,0,0,0,0,0,0
"SumLivebornForWeanedPigs",2339,1110,1229,1136,1071,934,3464,11283
"SumLitterReconciliation",28,72,79,20,-22,-8,42,211
"WeanedPerSowPerYear",20.69,22.98,24.83,26.69,23.58,21.17,24.29,23.23
"WeanedPerFemalePerYear",18.57,22.09,23.10,25.88,23.16,19.72,22.76,21.74
"PreWeaningMortality",12.14,16.40,18.31,10.30,8.87,8.14,11.84,12.31
"PreWeaningMortalityNetFoster",13.69,19.02,18.70,10.30,8.87,8.14,11.84,12.96

Inventory Information

"SowDays",36008,15164,15078,13943,15117,14806,45928,156044
"GiltDays",4119,607,1129,438,274,1085,3076,10728
"OffsetSowDays",36008,15164,15078,13943,15117,14806,45928,156044
"OffsetGiltDays",4119,607,1129,438,274,1085,3076,10728
"FemaleDays",40127,15771,16207,14381,15391,15891,49004,166772
"SumParityDays",56143,32759,34172,29594,37904,27243,149259,367074
"SumCycleDays",85559,45230,46538,41218,50493,39458,188725,497221
"BoarDays",364,112,0,56,84,94,112,822
"FemaleNonProdDays",7511,1507,2316,1492,1290,2043,7728,23887
"SowNonProdDays",3392,900,1187,1054,1016,958,4652,13159
"GiltsArrived",74,30,29,25,32,30,79,299
"SowsArrived",0,0,0,0,0,0,0,0
"SowsTransferedOn",0,0,0,0,0,0,0,0
"GiltsArrivedAvailable",74,30,29,25,32,30,79,299
"SowsDied",10,1,7,4,4,1,10,37
"SowsDiedSumParity",21,0,23,5,6,1,32,88
"SowsDiedSumCycle",22,1,26,6,9,2,39,105
"PercentFemaleDeathsPerYear",9.10,2.32,15.78,10.16,9.49,2.30,7.45,8.10
"SowsSold",72,21,30,27,31,22,97,300
"SowsSoldSumParity",153,62,101,96,106,76,299,893
"SowsSoldSumCycle",166,68,109,108,115,86,352,1004
"PercentFemaleCullsPerYear",65.54,48.64,67.61,68.57,73.57,50.57,72.30,65.70
"SowsTransferedOff",0,0,0,0,0,0,0,0
"PercentFemaleTransfersOffPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SowsTransferedOn",0,0,0,0,0,0,0,0
"PercentFemaleTransfersOnPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EndingFemaleInventory",1419,563,574,507,543,568,1711,5885
"AvGiltInventory",147,22,40,16,10,39,110,383
"EndingGiltInventory",144,23,41,14,12,39,110,383
"AvSowInventory",1286,542,538,498,540,529,1640,5573
"EndingSowInventory",1275,540,533,493,531,529,1601,5502
"AvBoarInventory",13,4,0,2,3,3,4,29
"EndingBoarInventory",13,4,0,2,3,3,4,29
"EndingCycleInventory[0]",144,23,41,14,12,39,110,383
"EndingCycleInventory[1]",499,136,153,133,126,161,129,1337
"EndingCycleInventory[2]",310,141,93,114,116,119,278,1171
"EndingCycleInventory[3]",190,84,83,75,77,94,302,905
"EndingCycleInventory[4]",144,60,79,64,68,75,277,767
"EndingCycleInventory[5]",64,47,68,56,58,58,227,578
"EndingCycleInventory[6]",35,39,28,33,29,21,151,336
"EndingCycleInventory[7]",20,25,18,13,33,1,130,240
"EndingCycleInventory[8]",8,8,9,4,14,0,65,108
"EndingCycleInventory[9]",4,0,2,1,8,0,22,37
"EndingCycleInventory[10]",0,0,0,0,2,0,12,14
"EndingCycleInventory[11]",1,0,0,0,0,0,8,9
"EndingParityInventory[0]",551,128,165,122,118,176,232,1492
"EndingParityInventory[1]",358,149,99,123,113,117,246,1205
"EndingParityInventory[2]",192,93,100,77,83,104,299,948
"EndingParityInventory[3]",169,62,72,74,75,75,280,807
"EndingParityInventory[4]",73,50,61,47,62,63,235,591
"EndingParityInventory[5]",34,45,46,42,32,28,158,385
"EndingParityInventory[6]",23,21,16,15,29,5,140,249
"EndingParityInventory[7]",13,13,11,6,18,0,69,130
"EndingParityInventory[8]",5,2,2,0,11,0,29,49
"EndingParityInventory[9]",0,0,2,1,2,0,13,18
"EndingParityInventory[10]",1,0,0,0,0,0,7,8
"EndingParityInventory[11]",0,0,0,0,0,0,3,3
"SowsSoldByCycle[0]",6,5,1,0,0,1,20,33
"SowsSoldByCycle[1]",19,4,6,6,10,2,5,52
"SowsSoldByCycle[2]",13,1,6,2,1,1,11,35
"SowsSoldByCycle[3]",22,2,5,3,3,3,13,51
"SowsSoldByCycle[4]",8,2,1,2,4,4,11,32
"SowsSoldByCycle[5]",1,0,1,6,5,9,11,33
"SowsSoldByCycle[6]",3,3,4,5,4,2,11,32
"SowsSoldByCycle[7]",0,2,5,3,3,0,9,22
"SowsSoldByCycle[8]",0,2,1,0,1,0,1,5
"SowsSoldByCycle[9]",0,0,0,0,0,0,3,3
"SowsSoldByCycle[10]",0,0,0,0,0,0,0,0
"SowsSoldByCycle[11]",0,0,0,0,0,0,2,2
"SowsSoldByParity[0]",9,8,2,4,4,2,22,51
"SowsSoldByParity[1]",22,1,9,4,7,1,14,58
"SowsSoldByParity[2]",8,1,4,2,2,2,12,31
"SowsSoldByParity[3]",24,3,3,2,2,4,9,47
"SowsSoldByParity[4]",5,1,1,3,4,8,10,32
"SowsSoldByParity[5]",1,1,1,5,4,3,11,26
"SowsSoldByParity[6]",3,3,4,4,4,2,5,25
"SowsSoldByParity[7]",0,1,6,3,3,0,9,22
"SowsSoldByParity[8]",0,2,0,0,1,0,2,5
"SowsSoldByParity[9]",0,0,0,0,0,0,1,1
"SowsSoldByParity[10]",0,0,0,0,0,0,1,1
"SowsSoldByParity[11]",0,0,0,0,0,0,1,1
"SowsDiedByCycle[0]",0,0,0,2,0,0,0,2
"SowsDiedByCycle[1]",5,1,1,1,1,0,2,11
"SowsDiedByCycle[2]",2,0,2,0,2,1,1,8
"SowsDiedByCycle[3]",1,0,1,0,0,0,3,5
"SowsDiedByCycle[4]",1,0,0,0,1,0,0,2
"SowsDiedByCycle[5]",0,0,1,1,0,0,0,2
"SowsDiedByCycle[6]",1,0,1,0,0,0,3,5
"SowsDiedByCycle[7]",0,0,1,0,0,0,0,1
"SowsDiedByCycle[8]",0,0,0,0,0,0,1,1
"SowsDiedByCycle[9]",0,0,0,0,0,0,0,0
"SowsDiedByCycle[10]",0,0,0,0,0,0,0,0
"SowsDiedByCycle[11]",0,0,0,0,0,0,0,0
"SowsDiedByParity[0]",1,1,0,2,0,0,2,6
"SowsDiedByParity[1]",4,0,2,1,3,1,2,13
"SowsDiedByParity[2]",2,0,1,0,0,0,1,4
"SowsDiedByParity[3]",1,0,1,0,1,0,1,4
"SowsDiedByParity[4]",1,0,0,1,0,0,0,2
"SowsDiedByParity[5]",0,0,2,0,0,0,1,3
"SowsDiedByParity[6]",1,0,1,0,0,0,2,4
"SowsDiedByParity[7]",0,0,0,0,0,0,0,0
"SowsDiedByParity[8]",0,0,0,0,0,0,1,1
"SowsDiedByParity[9]",0,0,0,0,0,0,0,0
"SowsDiedByParity[10]",0,0,0,0,0,0,0,0
"SowsDiedByParity[11]",0,0,0,0,0,0,0,0
"AvGestatingGiltInventory",412,111,123,111,103,134,84,1079
"AvLactatingSowInventory",151,77,67,62,67,71,207,702
"AvDrySowInventory",85,19,30,20,23,21,85,284
"AvGestatingSowInventory",637,334,319,304,347,302,1264,3508
"PercentMaidenGiltInventory",10.26,3.85,6.97,3.05,1.78,6.83,6.28,6.43
"PercentGestatingGiltInventory",28.78,19.73,21.26,21.61,18.69,23.64,4.82,18.11
"PercentLactatingSowInventory",10.54,13.73,11.56,12.16,12.18,12.54,11.81,11.79
"PercentDrySowInventory",5.96,3.35,5.17,3.96,4.25,3.77,4.85,4.77
"PercentGestatingSowInventory",44.46,59.35,55.04,59.22,63.11,53.23,72.24,58.89
