Rose CPS
North Carolina
01-Nov-16 (16-472)
Analysis of production performance between 16-441 and 16-468


"Farm","0300 - DN","0301 - Polly Ridge","0305 - Shellbank","0306 - Whitakers","0307 - Creekside","0309 - CAJ One","Total"
"PartWeanedSowsWeaned",0,0,0,0,0,0,0
"PartWeanedPigletsWeaned",0,0,0,0,0,0,0
"SumCycleCompleteWeaned",2812,4033,1344,1486,2667,2540,14882
"SumParityCompleteWeaned",2812,4033,1337,1484,2642,2537,14845
"SumLactationLength",20989,25815,8972,9612,16439,20738,102565
"SumPigletAgeAtWeaning",239643,290531,91583,101306,184946,220243,1128252
"SumWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedLitterWeight",0,0,0,0,634,0,634
"SumAdjWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountAdjWeanedLitterWeight",0,0,0,0,0,0,0
"SumWeanedPigletWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedPigletWeight",0,0,0,0,0,0,0
"SumLivebornForWeanedPigs",12176,14114,5177,5371,10198,11886,58922
"SumLitterReconciliation",508,187,118,191,603,140,1747
"WeanedPerSowPerYear",27.27,25.43,21.64,24.86,28.22,25.38,25.79
"WeanedPerFemalePerYear",26.66,24.29,20.63,24.16,26.41,24.43,24.74
"PreWeaningMortality",14.29,16.16,16.28,9.55,9.99,12.01,13.28
"PreWeaningMortalityNetFoster",17.72,16.86,17.65,14.18,13.98,13.37,15.66

Inventory Information

"SowDays",139015,169428,73135,71457,119328,151919,724282
"GiltDays",3197,7938,3607,2060,8134,5870,30806
"OffsetSowDays",139015,169428,73135,71457,119328,151919,724282
"OffsetGiltDays",3197,7938,3607,2060,8134,5870,30806
"FemaleDays",142212,177366,76742,73517,127462,157789,755088
"SumParityDays",331205,494196,179550,194200,311453,287085,1797689
"SumCycleDays",441351,629062,241520,251363,407434,407165,2377895
"BoarDays",0,0,840,532,0,1624,2996
"FemaleNonProdDays",11598,17046,10174,8488,17717,19859,84882
"SowNonProdDays",8401,9108,6567,6428,9583,13989,54076
"GiltsArrived",257,643,82,33,278,282,1575
"SowsArrived",0,0,0,0,0,0,0
"SowsTransferedOn",0,0,0,0,0,0,0
"GiltsArrivedAvailable",257,643,82,33,278,282,1575
"SowsDied",40,48,25,26,25,41,205
"SowsDiedSumParity",103,156,60,68,60,87,534
"SowsDiedSumCycle",120,174,80,80,71,104,629
"PercentFemaleDeathsPerYear",10.27,9.88,11.90,12.92,7.16,9.49,9.92
"SowsSold",164,85,86,56,241,294,926
"SowsSoldSumParity",653,205,307,157,724,956,3002
"SowsSoldSumCycle",700,229,344,165,834,1024,3296
"PercentFemaleCullsPerYear",42.12,17.50,40.93,27.82,69.06,68.06,44.79
"SowsTransferedOff",0,0,0,0,0,0,0
"PercentFemaleTransfersOffPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SowsTransferedOn",0,0,0,0,0,0,0
"PercentFemaleTransfersOnPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EndingFemaleInventory",5143,6728,2755,2595,4520,5561,27302
"AvGiltInventory",114,284,129,74,290,210,1100
"EndingGiltInventory",157,612,134,89,314,227,1533
"AvSowInventory",4965,6051,2612,2552,4262,5426,25867
"EndingSowInventory",4986,6116,2621,2506,4206,5334,25769
"AvBoarInventory",0,0,30,19,0,58,107
"EndingBoarInventory",0,0,0,0,0,0,0
"EndingCycleInventory[0]",157,612,134,89,314,227,1533
"EndingCycleInventory[1]",1048,1116,634,489,1083,1417,5787
"EndingCycleInventory[2]",925,605,550,466,808,1285,4639
"EndingCycleInventory[3]",1205,1468,447,436,502,1067,5125
"EndingCycleInventory[4]",910,1140,334,395,574,981,4334
"EndingCycleInventory[5]",239,663,193,236,484,447,2262
"EndingCycleInventory[6]",259,278,133,145,174,80,1069
"EndingCycleInventory[7]",193,373,143,184,281,48,1222
"EndingCycleInventory[8]",191,294,104,81,224,8,902
"EndingCycleInventory[9]",16,167,61,46,72,1,363
"EndingCycleInventory[10]",0,12,14,24,4,0,54
"EndingCycleInventory[11]",0,0,8,4,0,0,12
"EndingParityInventory[0]",945,1513,625,445,1145,1328,6001
"EndingParityInventory[1]",964,500,621,488,913,1323,4809
"EndingParityInventory[2]",1079,1477,468,481,498,1112,5115
"EndingParityInventory[3]",1208,1229,352,399,623,1059,4870
"EndingParityInventory[4]",237,860,208,248,488,546,2587
"EndingParityInventory[5]",269,211,125,162,246,118,1131
"EndingParityInventory[6]",193,363,151,186,251,42,1186
"EndingParityInventory[7]",197,333,111,98,254,28,1021
"EndingParityInventory[8]",45,228,65,53,91,4,486
"EndingParityInventory[9]",6,14,19,27,11,1,78
"EndingParityInventory[10]",0,0,7,8,0,0,15
"EndingParityInventory[11]",0,0,3,0,0,0,3
"SowsSoldByCycle[0]",10,20,4,3,8,7,52
"SowsSoldByCycle[1]",21,8,17,12,66,73,197
"SowsSoldByCycle[2]",25,19,17,17,35,36,149
"SowsSoldByCycle[3]",31,11,9,4,27,53,135
"SowsSoldByCycle[4]",17,11,5,9,27,42,111
"SowsSoldByCycle[5]",4,4,2,3,20,12,45
"SowsSoldByCycle[6]",6,3,10,2,14,24,59
"SowsSoldByCycle[7]",4,4,10,4,28,32,82
"SowsSoldByCycle[8]",30,5,5,2,15,11,68
"SowsSoldByCycle[9]",16,0,4,0,1,4,25
"SowsSoldByCycle[10]",0,0,3,0,0,0,3
"SowsSoldByCycle[11]",0,0,0,0,0,0,0
"SowsSoldByParity[0]",14,21,15,5,50,21,126
"SowsSoldByParity[1]",30,13,16,14,48,73,194
"SowsSoldByParity[2]",19,19,11,13,20,27,109
"SowsSoldByParity[3]",40,9,8,5,28,67,157
"SowsSoldByParity[4]",3,9,3,8,26,33,82
"SowsSoldByParity[5]",4,2,4,3,14,5,32
"SowsSoldByParity[6]",6,6,8,2,17,23,62
"SowsSoldByParity[7]",3,3,10,5,28,31,80
"SowsSoldByParity[8]",29,3,5,1,10,10,58
"SowsSoldByParity[9]",16,0,5,0,0,4,25
"SowsSoldByParity[10]",0,0,1,0,0,0,1
"SowsSoldByParity[11]",0,0,0,0,0,0,0
"SowsDiedByCycle[0]",2,4,0,0,3,3,12
"SowsDiedByCycle[1]",12,6,7,5,7,10,47
"SowsDiedByCycle[2]",7,8,3,6,3,10,37
"SowsDiedByCycle[3]",7,6,6,5,4,8,36
"SowsDiedByCycle[4]",1,10,3,6,3,6,29
"SowsDiedByCycle[5]",3,1,2,1,0,1,8
"SowsDiedByCycle[6]",4,6,1,2,3,0,16
"SowsDiedByCycle[7]",3,4,3,1,0,3,14
"SowsDiedByCycle[8]",0,2,0,0,2,0,4
"SowsDiedByCycle[9]",1,1,0,0,0,0,2
"SowsDiedByCycle[10]",0,0,0,0,0,0,0
"SowsDiedByCycle[11]",0,0,0,0,0,0,0
"SowsDiedByParity[0]",8,7,6,1,4,5,31
"SowsDiedByParity[1]",8,5,3,7,8,11,42
"SowsDiedByParity[2]",9,9,6,7,3,14,48
"SowsDiedByParity[3]",4,9,4,3,4,4,28
"SowsDiedByParity[4]",1,5,1,5,1,4,17
"SowsDiedByParity[5]",3,2,2,1,2,0,10
"SowsDiedByParity[6]",4,4,2,1,1,1,13
"SowsDiedByParity[7]",2,4,1,1,2,2,12
"SowsDiedByParity[8]",1,3,0,0,0,0,4
"SowsDiedByParity[9]",0,0,0,0,0,0,0
"SowsDiedByParity[10]",0,0,0,0,0,0,0
"SowsDiedByParity[11]",0,0,0,0,0,0,0
"AvGestatingGiltInventory",779,916,511,403,856,1102,4566
"AvLactatingSowInventory",792,981,334,360,634,770,3872
"AvDrySowInventory",240,265,152,166,250,378,1451
"AvGestatingSowInventory",3155,3889,1615,1624,2521,3175,15978
"PercentMaidenGiltInventory",2.25,4.48,4.70,2.80,6.38,3.72,4.08
"PercentGestatingGiltInventory",15.34,14.45,18.64,15.35,18.80,19.55,16.93
"PercentLactatingSowInventory",15.58,15.49,12.19,13.71,13.94,13.67,14.36
"PercentDrySowInventory",4.72,4.19,5.55,6.30,5.50,6.72,5.38
"PercentGestatingSowInventory",62.11,61.39,58.92,61.83,55.38,56.34,59.25
