Rose CPS
WI
29-Nov-16 (16-500)
Analysis of production performance between 16-469 and 16-496


"Farm","0500 - Main Farm","0501 - Crouch I","0502 - Crouch II","0503 - Scenic Farm","0504 - Cedar Farm","0505 - Loreto Farm","0508 - Marengo Farm","Total"
"TotalPigletsWeanedBoars",0,0,0,0,0,0,0,0
"TotalPigletsWeanedGilts",0,0,0,0,0,0,0,0
"WeanedPerLitter",9.82,9.86,10.74,10.65,10.89,10.39,10.33,10.28
"TotalPigletsWeanedNoPartWeaned",2122,981,881,948,980,935,1498,8345
"SubStandardWeaned",0,0,0,0,0,0,0,0
"PartWeanedSowsWeaned",0,2,0,0,0,0,0,2
"PartWeanedPigletsWeaned",0,5,0,0,0,0,0,5
"SumCycleCompleteWeaned",501,293,269,271,305,239,629,2507
"SumParityCompleteWeaned",501,293,269,271,305,239,625,2503
"SumLactationLength",4240,2014,1712,1658,1915,2013,4589,18141
"SumPigletAgeAtWeaning",41083,19087,17803,17617,20797,21157,46802,184346
"SumWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedLitterWeight",0,0,0,0,0,0,0,0
"SumAdjWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountAdjWeanedLitterWeight",0,0,0,0,0,0,0,0
"SumWeanedPigletWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedPigletWeight",0,0,0,0,0,0,0,0
"SumLivebornForWeanedPigs",2406,1077,951,1056,1104,1026,1738,9358
"SumLitterReconciliation",93,89,-30,-8,-3,8,49,198
"WeanedPerSowPerYear",21.51,23.68,21.61,25.21,23.65,22.66,11.94,19.57
"WeanedPerFemalePerYear",19.28,22.85,20.10,24.18,23.13,21.18,11.20,18.29
"PreWeaningMortality",11.80,6.41,5.15,10.23,11.23,9.84,13.81,10.42
"PreWeaningMortalityNetFoster",13.10,16.97,8.33,10.23,11.23,9.84,13.81,12.35

Inventory Information

"SowDays",36026,15206,14891,13733,15136,15070,45813,155875
"GiltDays",4165,558,1117,589,338,1057,3045,10869
"OffsetSowDays",36026,15206,14891,13733,15136,15070,45813,155875
"OffsetGiltDays",4165,558,1117,589,338,1057,3045,10869
"FemaleDays",40191,15764,16008,14322,15474,16127,48858,166744
"SumParityDays",56854,33452,33770,28405,37748,27918,147734,365881
"SumCycleDays",86273,45805,46194,40147,50193,40313,185922,494847
"BoarDays",364,112,0,56,84,84,112,812
"FemaleNonProdDays",7370,1537,2287,1483,1417,2261,6588,22943
"SowNonProdDays",3205,979,1170,894,1079,1204,3543,12074
"GiltsArrived",100,33,30,34,30,30,72,329
"SowsArrived",0,0,0,0,0,0,0,0
"SowsTransferedOn",0,0,0,0,0,0,0,0
"GiltsArrivedAvailable",100,33,30,34,30,30,72,329
"SowsDied",8,3,2,4,2,1,8,28
"SowsDiedSumParity",6,12,7,5,9,2,39,80
"SowsDiedSumCycle",10,12,8,7,10,3,43,93
"PercentFemaleDeathsPerYear",7.27,6.95,4.56,10.20,4.72,2.26,5.98,6.13
"SowsSold",80,20,29,26,18,22,38,233
"SowsSoldSumParity",190,51,75,122,63,70,160,731
"SowsSoldSumCycle",212,60,91,131,71,80,185,830
"PercentFemaleCullsPerYear",72.70,46.34,66.17,66.31,42.49,49.83,28.41,51.04
"SowsTransferedOff",0,0,0,0,0,0,0,0
"PercentFemaleTransfersOffPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SowsTransferedOn",0,0,0,0,0,0,0,0
"PercentFemaleTransfersOnPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EndingFemaleInventory",1430,572,573,511,555,576,1741,5958
"AvGiltInventory",149,20,40,21,12,38,109,388
"EndingGiltInventory",150,26,46,19,11,38,87,377
"AvSowInventory",1287,543,532,490,541,538,1636,5567
"EndingSowInventory",1280,546,527,492,544,538,1654,5581
"AvBoarInventory",13,4,0,2,3,3,4,29
"EndingBoarInventory",13,4,0,2,3,3,4,29
"EndingCycleInventory[0]",150,26,46,19,11,38,87,377
"EndingCycleInventory[1]",484,134,146,134,143,168,214,1423
"EndingCycleInventory[2]",343,140,92,120,106,112,242,1155
"EndingCycleInventory[3]",170,93,88,70,78,101,308,908
"EndingCycleInventory[4]",149,59,70,75,69,73,267,762
"EndingCycleInventory[5]",67,43,62,47,60,61,233,573
"EndingCycleInventory[6]",32,43,43,32,30,22,155,357
"EndingCycleInventory[7]",18,22,15,10,29,1,132,227
"EndingCycleInventory[8]",12,11,9,4,16,0,63,115
"EndingCycleInventory[9]",4,1,2,0,11,0,22,40
"EndingCycleInventory[10]",0,0,0,0,2,0,10,12
"EndingCycleInventory[11]",1,0,0,0,0,0,8,9
"EndingParityInventory[0]",530,138,163,133,122,183,295,1564
"EndingParityInventory[1]",394,139,110,120,117,113,196,1189
"EndingParityInventory[2]",179,91,88,80,85,104,294,921
"EndingParityInventory[3]",174,71,65,76,74,69,267,796
"EndingParityInventory[4]",74,48,66,43,58,72,262,623
"EndingParityInventory[5]",39,43,51,40,33,32,152,390
"EndingParityInventory[6]",20,25,17,15,29,3,140,249
"EndingParityInventory[7]",15,15,9,4,21,0,82,146
"EndingParityInventory[8]",4,2,4,0,14,0,33,57
"EndingParityInventory[9]",0,0,0,0,2,0,11,13
"EndingParityInventory[10]",1,0,0,0,0,0,5,6
"EndingParityInventory[11]",0,0,0,0,0,0,4,4
"SowsSoldByCycle[0]",2,2,1,0,0,0,0,5
"SowsSoldByCycle[1]",22,5,8,1,3,4,0,43
"SowsSoldByCycle[2]",19,2,5,1,3,5,7,42
"SowsSoldByCycle[3]",18,3,7,4,2,0,8,42
"SowsSoldByCycle[4]",7,3,1,2,3,4,7,27
"SowsSoldByCycle[5]",5,3,2,7,2,4,1,24
"SowsSoldByCycle[6]",5,0,1,6,1,5,6,24
"SowsSoldByCycle[7]",1,1,2,4,4,0,1,13
"SowsSoldByCycle[8]",1,1,0,0,0,0,3,5
"SowsSoldByCycle[9]",0,0,2,1,0,0,3,6
"SowsSoldByCycle[10]",0,0,0,0,0,0,2,2
"SowsSoldByCycle[11]",0,0,0,0,0,0,0,0
"SowsSoldByParity[0]",9,5,6,0,2,4,0,26
"SowsSoldByParity[1]",22,3,5,1,2,4,8,45
"SowsSoldByParity[2]",15,3,9,4,3,1,2,37
"SowsSoldByParity[3]",18,2,2,3,3,1,11,40
"SowsSoldByParity[4]",6,4,1,2,2,3,2,20
"SowsSoldByParity[5]",3,1,2,7,1,5,1,20
"SowsSoldByParity[6]",5,0,0,4,2,4,6,21
"SowsSoldByParity[7]",1,1,2,4,3,0,2,13
"SowsSoldByParity[8]",1,1,0,0,0,0,3,5
"SowsSoldByParity[9]",0,0,2,1,0,0,2,5
"SowsSoldByParity[10]",0,0,0,0,0,0,1,1
"SowsSoldByParity[11]",0,0,0,0,0,0,0,0
"SowsDiedByCycle[0]",0,0,0,0,0,0,1,1
"SowsDiedByCycle[1]",6,0,1,2,0,0,0,9
"SowsDiedByCycle[2]",2,1,0,1,0,0,0,4
"SowsDiedByCycle[3]",0,0,0,1,0,1,0,2
"SowsDiedByCycle[4]",0,1,0,0,1,0,3,5
"SowsDiedByCycle[5]",0,0,0,0,0,0,1,1
"SowsDiedByCycle[6]",0,1,0,0,1,0,0,2
"SowsDiedByCycle[7]",0,0,1,0,0,0,2,3
"SowsDiedByCycle[8]",0,0,0,0,0,0,0,0
"SowsDiedByCycle[9]",0,0,0,0,0,0,0,0
"SowsDiedByCycle[10]",0,0,0,0,0,0,0,0
"SowsDiedByCycle[11]",0,0,0,0,0,0,1,1
"SowsDiedByParity[0]",4,0,0,1,0,0,1,6
"SowsDiedByParity[1]",2,0,1,1,0,0,0,4
"SowsDiedByParity[2]",2,1,0,2,0,1,0,6
"SowsDiedByParity[3]",0,0,0,0,1,0,2,3
"SowsDiedByParity[4]",0,1,0,0,0,0,1,2
"SowsDiedByParity[5]",0,0,0,0,0,0,1,1
"SowsDiedByParity[6]",0,1,1,0,1,0,1,4
"SowsDiedByParity[7]",0,0,0,0,0,0,1,1
"SowsDiedByParity[8]",0,0,0,0,0,0,0,0
"SowsDiedByParity[9]",0,0,0,0,0,0,0,0
"SowsDiedByParity[10]",0,0,0,0,0,0,0,0
"SowsDiedByParity[11]",0,0,0,0,0,0,1,1
"AvGestatingGiltInventory",391,108,121,110,110,140,158,1138
"AvLactatingSowInventory",156,80,62,53,71,71,264,756
"AvDrySowInventory",81,22,26,18,25,25,62,260
"AvGestatingSowInventory",659,333,322,310,335,303,1152,3413
"PercentMaidenGiltInventory",10.36,3.54,6.98,4.11,2.18,6.55,6.23,6.52
"PercentGestatingGiltInventory",27.21,19.20,21.25,21.41,19.87,24.32,9.07,19.11
"PercentLactatingSowInventory",10.87,14.15,10.86,10.37,12.82,12.30,15.11,12.70
"PercentDrySowInventory",5.64,3.95,4.55,3.53,4.57,4.29,3.58,4.36
"PercentGestatingSowInventory",45.92,59.17,56.37,60.57,60.55,52.54,66.00,57.32
