Rose CPS
Oklahoma Farms
30-Nov-16 (16-501)
Analysis of production performance between 16-469 and 16-496


"Farm","0801 - RR Sow 1","0802 - RR Sow 2","0803 - RR Sow 3","0804 - RR Sow 4","0903 - TE 3","0904 - Huffman Farm","0906 - TE 1 W","0907 - TE 1 E","0908 - TE 2 W","0909 - TE 2 E","Total"
"PigletLossAsPercentLiveborn[1]",5.23,4.58,,,6.98,4.37,5.70,5.30,5.25,5.47,5.48
"PigletLossAsPercentTotal[1]",49.29,39.07,,,43.34,38.03,36.21,28.92,35.18,32.08,36.03
"PigletLosses[2]",60,53,0,0,267,107,235,256,284,331,1593
"PigletLossAsPercentLiveborn[2]",1.13,0.93,,,2.67,1.79,2.29,2.35,2.76,2.99,2.29
"PigletLossAsPercentTotal[2]",10.64,7.93,,,16.55,15.53,14.57,12.83,18.54,17.55,15.09
"PigletLosses[3]",564,668,0,0,1613,689,1613,1995,1532,1886,10560
"PigletLossAsPercentLiveborn[3]",10.61,11.72,,,16.10,11.50,15.75,18.32,14.91,17.06,15.20
"SumPigletAgeAtLoss",2013,1714,0,0,7005,2647,5899,6241,6655,7683,39857
"PigletAgeAtLoss",3.57,2.57,,,4.34,3.84,3.66,3.13,4.34,4.07,3.77

Weaning Information

"CompleteWeanings",472,53,0,0,891,457,893,834,861,876,5337
"SowsWeaned",472,54,0,0,921,459,911,851,861,876,5405
"SowsWeanedWithZero",18,14,0,0,26,7,22,42,30,35,194
"NurseSowsCreated",0,1,0,0,30,2,18,17,0,0,68
"NurseSowsWeaned",0,0,0,0,28,3,20,22,0,0,73
"LittersWeaned",454,40,0,0,895,452,889,809,831,841,5211
"PigletAgeAtWeaning",26.71,20.69,,,24.87,22.07,22.45,22.50,23.15,23.50,23.50
"TotalPigletsWeaned",5140,470,0,0,9411,5178,8983,8416,8877,9384,55859
"TotalPigletsWeanedBoars",0,0,0,0,0,0,0,0,0,0,0
"TotalPigletsWeanedGilts",0,0,0,0,0,0,0,0,0,0,0
"WeanedPerLitter",11.32,11.75,,,10.52,11.46,10.10,10.40,10.68,11.16,10.72
"TotalPigletsWeanedNoPartWeaned",5140,470,0,0,9411,5178,8983,8416,8744,9362,55704
"SubStandardWeaned",0,0,0,0,0,0,0,0,0,0,0
"PartWeanedSowsWeaned",0,0,0,0,0,0,0,0,14,2,16
"PartWeanedPigletsWeaned",0,0,0,0,0,0,0,0,133,22,155
"SumCycleCompleteWeaned",2186,53,0,0,4173,1242,3828,4175,3991,3885,23533
"SumParityCompleteWeaned",2177,53,0,0,4159,1241,3813,4162,3988,3874,23467
"SumLactationLength",12166,844,0,0,22397,10036,20194,18574,19409,19981,123601
"SumPigletAgeAtWeaning",137280,9722,0,0,234028,114300,201707,189391,205510,220486,1312424
"SumWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedLitterWeight",0,0,0,0,0,0,0,0,0,0,0
"SumAdjWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountAdjWeanedLitterWeight",0,0,0,0,0,0,0,0,0,0,0
"SumWeanedPigletWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedPigletWeight",0,0,0,0,0,0,0,0,0,0,0
"SumLivebornForWeanedPigs",5521,672,0,0,11089,5742,10708,10195,10286,11231,65444
"SumLitterReconciliation",-91,135,0,0,142,-127,225,198,-113,-40,329
"WeanedPerSowPerYear",26.63,2.62,0.00,,24.25,25.04,25.27,23.15,24.48,24.79,21.99
"WeanedPerFemalePerYear",26.63,2.23,0.00,0.00,22.88,23.18,24.75,22.32,23.93,24.21,20.25
"PreWeaningMortality",6.90,31.99,,,15.29,9.61,15.88,16.86,13.57,16.06,14.46
"PreWeaningMortalityNetFoster",6.90,31.99,,,17.63,10.22,17.56,18.91,13.57,16.06,15.53

Inventory Information

"SowDays",70487,65414,41185,0,141775,75529,129836,132776,132423,138283,927708
"GiltDays",0,11414,22533,17290,8481,6044,2756,4931,3070,3266,79785
"OffsetSowDays",70487,65414,41185,0,141775,75529,129836,132776,132423,138283,927708
"OffsetGiltDays",0,11414,22533,17290,8481,6044,2756,4931,3070,3266,79785
"FemaleDays",70487,76828,63718,17290,150256,81573,132592,137707,135493,141549,1007493
"SumParityDays",296040,5603,0,0,523868,156658,466913,528025,529723,517636,3024466
"SumCycleDays",353245,65432,41185,0,642598,216696,576102,639146,637292,628587,3800283
"BoarDays",56,254,261,34,0,28,84,168,56,28,969
"FemaleNonProdDays",4761,16743,23715,17290,14084,12757,10242,11458,12245,14630,137925
"SowNonProdDays",4761,5329,1182,0,5603,6713,7486,6527,9175,11364,58140
"GiltsArrived",0,280,527,1399,170,0,261,259,233,243,3372
"SowsArrived",0,0,0,0,0,0,0,0,0,0,0
"SowsTransferedOn",0,0,0,0,0,0,0,0,0,0,0
"GiltsArrivedAvailable",0,280,527,1399,170,0,261,259,233,243,3372
"SowsDied",26,38,12,3,34,16,26,34,32,22,243
"SowsDiedSumParity",128,13,0,0,158,29,126,186,143,78,861
"SowsDiedSumCycle",140,32,7,0,174,34,132,196,156,86,957
"PercentFemaleDeathsPerYear",13.47,18.07,6.88,6.34,8.26,7.16,7.16,9.02,8.63,5.68,8.81
"SowsSold",25,169,289,0,92,0,137,69,236,147,1164
"SowsSoldSumParity",93,0,0,0,449,0,786,435,1008,654,3425
"SowsSoldSumCycle",113,38,13,0,481,0,840,471,1149,727,3832
"PercentFemaleCullsPerYear",12.95,80.34,165.66,0.00,22.36,0.00,37.74,18.30,63.62,37.93,42.20
"SowsTransferedOff",0,0,0,0,0,0,0,0,0,0,0
"PercentFemaleTransfersOffPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SowsTransferedOn",0,0,0,0,0,0,0,0,0,0,0
"PercentFemaleTransfersOnPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EndingFemaleInventory",2498,2745,2360,1396,5444,2905,4774,4997,4820,5075,37014
"AvGiltInventory",0,408,805,618,303,216,98,176,110,117,2849
"EndingGiltInventory",0,266,689,1396,338,170,116,166,102,109,3352
"AvSowInventory",2517,2336,1471,0,5063,2697,4637,4742,4729,4939,33132
"EndingSowInventory",2498,2479,1671,0,5106,2735,4658,4831,4718,4966,33662
"AvBoarInventory",2,9,9,1,0,1,3,6,2,1,35
"EndingBoarInventory",2,9,9,2,0,1,3,6,2,1,35
"EndingCycleInventory[0]",0,266,689,1396,338,170,116,166,102,109,3352
"EndingCycleInventory[1]",7,2478,1671,0,744,656,457,476,397,447,7333
"EndingCycleInventory[2]",319,1,0,0,553,680,369,521,280,452,3175
"EndingCycleInventory[3]",576,0,0,0,943,501,1235,1072,1146,1172,6645
"EndingCycleInventory[4]",421,0,0,0,779,365,831,741,666,703,4506
"EndingCycleInventory[5]",181,0,0,0,489,346,433,345,619,656,3069
"EndingCycleInventory[6]",217,0,0,0,472,97,297,237,500,497,2317
"EndingCycleInventory[7]",264,0,0,0,302,58,356,370,335,386,2071
"EndingCycleInventory[8]",199,0,0,0,247,17,365,472,284,294,1878
"EndingCycleInventory[9]",142,0,0,0,192,12,216,315,221,187,1285
"EndingCycleInventory[10]",132,0,0,0,170,2,81,172,168,100,825
"EndingCycleInventory[11]",40,0,0,0,215,1,18,110,102,72,558
"EndingParityInventory[0]",4,2327,2360,1396,1074,660,566,629,494,536,10046
"EndingParityInventory[1]",197,418,0,0,403,716,247,344,161,310,2796
"EndingParityInventory[2]",604,0,0,0,925,547,1129,1070,1028,1135,6438
"EndingParityInventory[3]",451,0,0,0,846,391,925,814,771,756,4954
"EndingParityInventory[4]",234,0,0,0,503,342,563,445,657,668,3412
"EndingParityInventory[5]",176,0,0,0,512,144,244,197,519,526,2318
"EndingParityInventory[6]",270,0,0,0,317,35,351,361,355,408,2097
"EndingParityInventory[7]",229,0,0,0,244,44,384,470,293,301,1965
"EndingParityInventory[8]",150,0,0,0,202,19,229,334,239,218,1391
"EndingParityInventory[9]",125,0,0,0,171,5,104,197,162,124,888
"EndingParityInventory[10]",56,0,0,0,113,1,27,65,89,67,418
"EndingParityInventory[11]",2,0,0,0,134,1,5,71,52,26,291
"SowsSoldByCycle[0]",0,131,276,0,0,0,0,0,1,0,408
"SowsSoldByCycle[1]",3,38,13,0,11,0,1,3,6,6,81
"SowsSoldByCycle[2]",6,0,0,0,12,0,12,4,39,24,97
"SowsSoldByCycle[3]",6,0,0,0,12,0,17,8,49,23,115
"SowsSoldByCycle[4]",0,0,0,0,12,0,14,8,32,16,82
"SowsSoldByCycle[5]",0,0,0,0,7,0,11,2,30,26,76
"SowsSoldByCycle[6]",2,0,0,0,5,0,7,0,15,11,40
"SowsSoldByCycle[7]",1,0,0,0,5,0,27,12,22,13,80
"SowsSoldByCycle[8]",4,0,0,0,10,0,19,7,13,10,63
"SowsSoldByCycle[9]",1,0,0,0,4,0,21,10,10,9,55
"SowsSoldByCycle[10]",2,0,0,0,9,0,7,7,13,7,45
"SowsSoldByCycle[11]",0,0,0,0,5,0,1,8,6,2,22
"SowsSoldByParity[0]",0,169,289,0,10,0,0,1,3,2,474
"SowsSoldByParity[1]",8,0,0,0,5,0,6,3,24,21,67
"SowsSoldByParity[2]",7,0,0,0,10,0,17,9,53,25,121
"SowsSoldByParity[3]",0,0,0,0,14,0,13,6,32,10,75
"SowsSoldByParity[4]",0,0,0,0,10,0,16,6,36,22,90
"SowsSoldByParity[5]",2,0,0,0,6,0,6,0,16,20,50
"SowsSoldByParity[6]",1,0,0,0,4,0,12,6,25,12,60
"SowsSoldByParity[7]",4,0,0,0,7,0,24,10,14,10,69
"SowsSoldByParity[8]",1,0,0,0,10,0,21,12,8,9,61
"SowsSoldByParity[9]",1,0,0,0,5,0,16,3,12,9,46
"SowsSoldByParity[10]",1,0,0,0,7,0,5,6,9,7,35
"SowsSoldByParity[11]",0,0,0,0,4,0,1,7,4,0,16
"SowsDiedByCycle[0]",0,6,5,3,0,4,0,0,1,0,19
"SowsDiedByCycle[1]",0,32,7,0,2,2,0,1,1,1,46
"SowsDiedByCycle[2]",4,0,0,0,2,5,3,5,5,5,29
"SowsDiedByCycle[3]",3,0,0,0,10,1,6,6,6,5,37
"SowsDiedByCycle[4]",5,0,0,0,2,2,5,2,2,4,22
"SowsDiedByCycle[5]",2,0,0,0,4,1,0,0,5,2,14
"SowsDiedByCycle[6]",3,0,0,0,5,1,3,3,4,2,21
"SowsDiedByCycle[7]",2,0,0,0,4,0,5,6,3,2,22
"SowsDiedByCycle[8]",3,0,0,0,1,0,3,7,1,1,16
"SowsDiedByCycle[9]",3,0,0,0,2,0,0,1,2,0,8
"SowsDiedByCycle[10]",1,0,0,0,0,0,0,1,0,0,2
"SowsDiedByCycle[11]",0,0,0,0,2,0,1,2,2,0,7
"SowsDiedByParity[0]",0,25,12,3,2,5,0,1,1,1,50
"SowsDiedByParity[1]",1,13,0,0,0,3,0,2,3,1,23
"SowsDiedByParity[2]",4,0,0,0,5,4,5,5,6,4,33
"SowsDiedByParity[3]",4,0,0,0,8,0,5,5,4,6,32
"SowsDiedByParity[4]",4,0,0,0,3,3,4,1,3,5,23
"SowsDiedByParity[5]",3,0,0,0,6,0,1,1,5,2,18
"SowsDiedByParity[6]",2,0,0,0,2,1,3,2,3,1,14
"SowsDiedByParity[7]",1,0,0,0,3,0,5,7,2,1,19
"SowsDiedByParity[8]",6,0,0,0,3,0,2,7,2,1,21
"SowsDiedByParity[9]",1,0,0,0,0,0,0,0,1,0,2
"SowsDiedByParity[10]",0,0,0,0,0,0,0,1,0,0,1
"SowsDiedByParity[11]",0,0,0,0,2,0,1,2,2,0,7
"AvGestatingGiltInventory",4,2136,1471,0,640,512,352,340,284,321,6060
"AvLactatingSowInventory",411,194,0,0,768,385,702,682,704,726,4574
"AvDrySowInventory",116,5,0,0,140,173,153,190,204,282,1264
"AvGestatingSowInventory",1985,1,0,0,3515,1627,3429,3531,3538,3609,21235
"PercentMaidenGiltInventory",0.00,14.86,35.36,100.00,5.64,7.41,2.08,3.58,2.27,2.31,7.92
"PercentGestatingGiltInventory",0.17,77.85,64.64,0.00,11.93,17.58,7.43,6.90,5.86,6.35,16.84
"PercentLactatingSowInventory",16.34,7.09,0.00,0.00,14.31,13.23,14.83,13.87,14.55,14.36,12.71
"PercentDrySowInventory",4.62,0.18,0.00,0.00,2.61,5.95,3.24,3.86,4.21,5.58,3.51
"PercentGestatingSowInventory",78.87,0.02,0.00,0.00,65.50,55.83,72.42,71.79,73.12,71.40,59.02
