Rose CPS
Rose
01-Nov-16 (16-472)
Analysis of production performance between 16-441 and 16-468


"Farm","0801 - RR Sow 1","0903 - TE 3","0904 - Huffman Farm","0906 - TE 1 W","0907 - TE 1 E","0908 - TE 2 W","0909 - TE 2 E","Total"
"LittersWeaned",406,930,491,894,857,877,852,5307
"PigletAgeAtWeaning",26.71,25.17,22.19,22.77,23.26,22.52,23.44,23.60
"TotalPigletsWeaned",4661,9780,5537,9243,9211,9083,9251,56766
"TotalPigletsWeanedBoars",0,0,0,0,0,0,0,0
"TotalPigletsWeanedGilts",0,0,0,0,0,0,0,0
"WeanedPerLitter",11.48,10.52,11.28,10.34,10.75,10.36,10.86,10.70
"TotalPigletsWeanedNoPartWeaned",4661,9780,5537,9243,9211,9037,9251,56720
"SubStandardWeaned",0,0,0,0,0,0,0,0
"PartWeanedSowsWeaned",0,0,0,0,0,5,0,5
"PartWeanedPigletsWeaned",0,0,0,0,0,46,0,46
"SumCycleCompleteWeaned",2031,4277,1517,3534,3986,4190,3669,23204
"SumParityCompleteWeaned",2025,4266,1514,3523,3966,4188,3663,23145
"SumLactationLength",10988,23641,11035,20573,20153,19962,20137,126489
"SumPigletAgeAtWeaning",124484,246153,122867,210504,214237,204504,216838,1339587
"SumWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedLitterWeight",0,0,0,0,0,0,0,0
"SumAdjWeanedLitterWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountAdjWeanedLitterWeight",0,0,0,0,0,0,0,0
"SumWeanedPigletWeight",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"CountWeanedPigletWeight",0,0,0,0,0,0,0,0
"SumLivebornForWeanedPigs",5253,11804,6408,10968,11022,10914,11254,67623
"SumLitterReconciliation",61,265,183,280,82,221,192,1284
"WeanedPerSowPerYear",23.68,25.33,27.07,25.91,25.59,24.92,24.84,25.33
"WeanedPerFemalePerYear",23.52,23.88,24.47,25.49,24.81,24.55,24.46,24.51
"PreWeaningMortality",10.87,16.84,12.58,15.34,15.89,16.65,17.80,15.70
"PreWeaningMortalityNetFoster",11.78,18.64,13.92,17.74,18.11,17.55,17.80,17.12

Inventory Information

"SowDays",71893,141038,74703,130314,131477,133135,136021,818581
"GiltDays",504,8580,7959,2120,4133,2007,2103,27406
"OffsetSowDays",71893,141038,74703,130314,131477,133135,136021,818581
"OffsetGiltDays",504,8580,7959,2120,4133,2007,2103,27406
"FemaleDays",72397,149618,82662,132434,135610,135142,138124,845987
"SumParityDays",289737,523828,151167,479135,530888,530374,508662,3013791
"SumCycleDays",348102,640383,211200,588770,640613,638116,618593,3685777
"BoarDays",56,0,28,84,168,56,28,420
"FemaleNonProdDays",5684,14913,14264,9622,10088,11143,13346,79060
"SowNonProdDays",5180,6333,6305,7502,5955,9136,11243,51654
"GiltsArrived",0,0,158,244,246,211,236,1095
"SowsArrived",0,0,0,0,0,0,0,0
"SowsTransferedOn",0,0,0,0,0,0,0,0
"GiltsArrivedAvailable",0,0,158,244,246,211,236,1095
"SowsDied",16,39,15,31,33,16,24,174
"SowsDiedSumParity",85,146,30,128,150,59,101,699
"SowsDiedSumCycle",92,157,36,143,160,66,111,765
"PercentFemaleDeathsPerYear",8.07,9.52,6.63,8.55,8.89,4.32,6.35,7.51
"SowsSold",17,62,115,154,56,87,65,556
"SowsSoldSumParity",62,345,419,807,230,279,237,2379
"SowsSoldSumCycle",76,372,453,873,260,340,278,2652
"PercentFemaleCullsPerYear",8.58,15.14,50.81,42.47,15.08,23.51,17.19,24.00
"SowsTransferedOff",0,0,0,0,0,0,0,0
"PercentFemaleTransfersOffPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"SowsTransferedOn",0,0,0,0,0,0,0,0
"PercentFemaleTransfersOnPerYear",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"EndingFemaleInventory",2566,5290,2919,4767,4930,4869,4984,30325
"AvGiltInventory",18,306,284,76,148,72,75,979
"EndingGiltInventory",18,218,281,77,167,95,94,950
"AvSowInventory",2568,5037,2668,4654,4696,4755,4858,29235
"EndingSowInventory",2548,5072,2638,4690,4763,4774,4890,29375
"AvBoarInventory",2,0,1,3,6,2,1,15
"EndingBoarInventory",2,0,1,3,6,2,1,15
"EndingCycleInventory[0]",18,218,281,77,167,95,94,950
"EndingCycleInventory[1]",11,550,661,247,229,184,233,2115
"EndingCycleInventory[2]",435,754,692,620,728,526,700,4455
"EndingCycleInventory[3]",572,950,448,1228,1060,1142,1115,6515
"EndingCycleInventory[4]",385,740,375,810,736,663,681,4390
"EndingCycleInventory[5]",157,513,319,332,244,634,652,2851
"EndingCycleInventory[6]",247,446,53,338,293,493,496,2366
"EndingCycleInventory[7]",258,294,59,420,444,354,381,2210
"EndingCycleInventory[8]",183,255,21,361,442,290,282,1834
"EndingCycleInventory[9]",159,190,7,232,313,225,183,1309
"EndingCycleInventory[10]",122,168,2,82,156,172,101,803
"EndingCycleInventory[11]",19,212,1,20,118,91,66,527
"EndingParityInventory[0]",26,745,813,315,383,270,305,2857
"EndingParityInventory[1]",317,567,679,387,524,299,450,3223
"EndingParityInventory[2]",585,981,524,1266,1119,1201,1215,6891
"EndingParityInventory[3]",431,814,361,854,771,709,718,4658
"EndingParityInventory[4]",188,517,348,471,351,667,671,3213
"EndingParityInventory[5]",218,483,92,324,260,520,522,2419
"EndingParityInventory[6]",271,309,52,393,394,364,406,2189
"EndingParityInventory[7]",214,255,30,393,503,297,306,1998
"EndingParityInventory[8]",147,205,13,232,316,243,199,1355
"EndingParityInventory[9]",126,182,5,111,175,180,115,894
"EndingParityInventory[10]",43,105,2,18,62,71,61,362
"EndingParityInventory[11]",0,127,0,3,72,48,16,266
"SowsSoldByCycle[0]",0,0,5,0,0,0,0,5
"SowsSoldByCycle[1]",2,8,19,1,10,5,2,47
"SowsSoldByCycle[2]",2,4,19,14,9,23,19,90
"SowsSoldByCycle[3]",4,5,16,17,10,16,14,82
"SowsSoldByCycle[4]",2,4,12,30,4,19,5,76
"SowsSoldByCycle[5]",1,7,4,6,0,7,5,30
"SowsSoldByCycle[6]",2,5,14,19,6,5,2,53
"SowsSoldByCycle[7]",2,7,18,29,3,4,8,71
"SowsSoldByCycle[8]",0,6,4,19,7,3,7,46
"SowsSoldByCycle[9]",1,6,2,17,2,4,3,35
"SowsSoldByCycle[10]",1,5,2,1,3,0,0,12
"SowsSoldByCycle[11]",0,5,0,1,2,1,0,9
"SowsSoldByParity[0]",0,6,15,1,0,0,2,24
"SowsSoldByParity[1]",4,6,20,10,13,17,12,82
"SowsSoldByParity[2]",4,4,14,16,15,27,17,97
"SowsSoldByParity[3]",2,5,13,17,5,11,9,62
"SowsSoldByParity[4]",1,3,11,19,0,15,4,53
"SowsSoldByParity[5]",1,6,2,11,2,4,1,27
"SowsSoldByParity[6]",3,5,16,21,6,4,5,60
"SowsSoldByParity[7]",0,6,16,29,6,4,9,70
"SowsSoldByParity[8]",1,6,4,17,3,4,4,39
"SowsSoldByParity[9]",1,5,2,12,3,0,2,25
"SowsSoldByParity[10]",0,5,2,1,2,0,0,10
"SowsSoldByParity[11]",0,5,0,0,1,1,0,7
"SowsDiedByCycle[0]",0,3,1,0,1,0,0,5
"SowsDiedByCycle[1]",0,1,3,2,0,0,0,6
"SowsDiedByCycle[2]",1,4,6,5,7,3,7,33
"SowsDiedByCycle[3]",5,15,1,5,3,5,1,35
"SowsDiedByCycle[4]",0,2,2,9,7,2,5,27
"SowsDiedByCycle[5]",1,3,2,1,2,2,1,12
"SowsDiedByCycle[6]",2,6,0,0,1,2,4,15
"SowsDiedByCycle[7]",2,2,0,4,5,1,3,17
"SowsDiedByCycle[8]",2,0,0,1,5,1,3,12
"SowsDiedByCycle[9]",2,1,0,1,2,0,0,6
"SowsDiedByCycle[10]",1,1,0,3,0,0,0,5
"SowsDiedByCycle[11]",0,1,0,0,0,0,0,1
"SowsDiedByParity[0]",0,3,2,1,1,0,0,7
"SowsDiedByParity[1]",0,2,4,1,2,0,3,12
"SowsDiedByParity[2]",3,7,5,6,6,5,4,36
"SowsDiedByParity[3]",3,12,1,9,3,5,4,37
"SowsDiedByParity[4]",0,1,2,4,8,2,2,19
"SowsDiedByParity[5]",3,6,1,1,0,1,3,15
"SowsDiedByParity[6]",1,4,0,4,3,1,4,17
"SowsDiedByParity[7]",2,1,0,1,4,1,1,10
"SowsDiedByParity[8]",2,0,0,0,5,1,3,11
"SowsDiedByParity[9]",1,2,0,4,1,0,0,8
"SowsDiedByParity[10]",1,0,0,0,0,0,0,1
"SowsDiedByParity[11]",0,1,0,0,0,0,0,1
"AvGestatingGiltInventory",6,453,555,131,123,101,123,1491
"AvLactatingSowInventory",427,809,374,725,711,718,713,4478
"AvDrySowInventory",105,157,155,146,167,209,250,1189
"AvGestatingSowInventory",2030,3618,1584,3652,3695,3727,3772,22077
"PercentMaidenGiltInventory",0.70,5.73,9.63,1.60,3.05,1.49,1.52,3.24
"PercentGestatingGiltInventory",0.22,8.47,18.81,2.78,2.53,2.10,2.48,4.94
"PercentLactatingSowInventory",16.53,15.15,12.67,15.32,14.68,14.88,14.46,14.82
"PercentDrySowInventory",4.05,2.94,5.24,3.08,3.45,4.33,5.08,3.93
"PercentGestatingSowInventory",78.50,67.70,53.65,77.22,76.29,77.21,76.46,73.07
