1,Activos
5.2.1.2.4,Aportes Patronales al IESS Adm.
5.2.1.2.5,Fondos de Reserva Adm.
5.2.1.2.6,Gasto Décimo Tercer Sueldo Adm.
5.2.1.2.7,Gasto Décimo Cuarto Sueldo Adm.
5.2.1.2.8,Mantenimiento de Equipos Adm.
5.2.1.2.9,Publicidad y Promoción Adm.
5.2.1.2.10,Internet Adm.
5.2.1.2.11,Agua Adm.
5.2.1.2.12,Impuesto a los Consumos Especiales Adm.
5.2.1.2.13,Depreciaciones Propiedades Planta y Equipos Adm.
5.2.1.2.14,Otros Gastos Adm.
5.2.1.2.15,Honorarios de Prestación de Servicios
5.2.1.2.15.1,Servicios Prestados Administrativos
5.2.1.2.15.2,Servicios Prestados Gerencia
5.2.1.2.16,Capacitacion y Gestión de Representacion
5.2.1.2.16.1,Alimentacion de Representación
5.2.1.2.16.2,Gastos de Gestion Adm.
5.2.1.2.16.3,Gastos de Viaje y Representación adm.
5.2.1.2.16.4,Movilizacion y Transporte Adm.
5.2.1.2.16.5,Capacitacion y Entrenamiento Adm.
5.2.1.2.17,Servicios Administrativos
5.2.1.2.17.1,Alimentacion Guardiania
5.2.1.2.17.4,Honorarios Profesionales Contabilidad
5.2.1.2.17.5,Servicios de Infraestructura Tecnológica
5.2.1.2.17.6,Movilizacion y Transporte Personal
5.2.1.2.17.8,Servicio Guardiania
5.2.1.2.17.9,Prestación de Servicios
5.2.1.2.18,Gastos Legales
5.2.1.2.18.1,Honorarios Abogados
5.2.1.2.18.5,Gasto Seguro Responsabilidad Civil
5.2.1.2.19,Servicios Basicos
5.2.1.2.19.1,Servicio de Agua
5.2.1.2.19.2,Servicio de Energía Electrica
5.2.1.2.19.3,Servicios de Internet
5.2.1.2.19.4,Servicios de Televisión Pagada
5.2.1.2.19.5,Servicios de Telefonía
5.2.1.2.20,Servicios de Sofware
5.2.1.2.20.1,Software Contable
5.2.1.2.20.2,Software Hospitalaria
5.2.1.2.20.3,DATAFAST
5.2.1.2.21,Suministros y Materiales
5.2.1.2.21.1,Suministros de Oficina
5.2.1.2.21.2,Suministros de Limpieza
5.2.1.2.21.3,Uniformes Personal Adm.
5.2.1.2.21.4,Materiales y Herramientas
5.2.1.2.21.5,Mantenimiento y Reparación
5.2.1.2.22,Mantenimiento Edificio
5.2.1.2.22.1,Control de Plagas
5.2.1.2.22.2,Mantenimiento Generador
5.2.1.2.22.3,Mantenimiento General
5.2.1.3,Gastos Financieros
5.2.1.3.1,Intereses
5.2.1.3.2,Gastos Bancarios
5.2.1.3.3,Otros Gastos Financieros
5.2.2,Gastos No Operacionales
5.2.2.1,Otros Gastos
5.2.2.1.1,Retenciones Asumidas
5.2.2.1.2,Gastos Legales 
5.2.3,Gastos de Operaciones Descontinuadas
